event_id,title,date,city,event_type,actors,organizations,themes,source,confidence,year,space_scale,space_cluster,institution_level,policy_phase,tech_mode,diffusion_channel,rupture_score,semantic_noise,notes,semantic_noise_score,polemic_score,archivalization_score,tech_channel,source_kind,institution_level_rule,tech_channel_rule,source_domain,primary_like_flag,institution_level_method,tech_channel_method,city_method,themes_raw,themes_cluster,space_scale_method
EVT-OTH-2026-00001-15a00bd2,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/,0.7,2026,unknown,unknown,museum,unknown,platform,retrospective_web,0.3,0,,0.0,0.0,0.0,retrospective_web,institution,museum,retrospective_web,ucca.org.cn,0,kept,domain_rule,unknown,,,kept
EVT-OTH-2025-00002-2990e59f,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/1/,0.7,2025,unknown,unknown,museum,unknown,platform,retrospective_web,0.3,0,,0.0,0.0,0.0,retrospective_web,institution,museum,retrospective_web,ucca.org.cn,0,kept,domain_rule,unknown,,,kept
EVT-OTH-2025-00003-6d4daad8,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/1/,0.7,2025,unknown,unknown,museum,unknown,platform,retrospective_web,0.3,0,,0.0,0.0,0.0,retrospective_web,institution,museum,retrospective_web,ucca.org.cn,0,kept,domain_rule,unknown,,,kept
EVT-EXH-1985-00004-af6dcbc0,30多年前，中国第一场现代艺术大展 - 知乎,1985-01-01,北京,exhibition,,美术馆,前卫,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fzhuanlan.zhihu.com%2Fp%2F354429878&rut=a787ce8df5a955fcb8041ae2bc61260280781bf68fc1355da03ac8de9acfb6c5,0.85,1985,local,beijing,unknown,unknown,platform,retrospective_web,0.3,0," | semantic_noise=1 by rule(polemic_score, bp-priority);",3.0,0.0,0.0,retrospective_web,unknown,unknown,retrospective_web,duckduckgo.com,0,kept,domain_rule,kept,前卫,avantgarde_discourse;institutional_exhibition,kept
EVT-EXH-1979-00005-c99a26d4,合集 · 回放|前卫•上海——上海当代艺术30年文献展（1979-2010）,1979-20-01,上海,exhibition,,美术馆,前卫;新潮,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sohu.com%2Fa%2F238987623_100143310&rut=f1b51afadbbad6a292924e4f8d30e50d5e074cda295e8ca3f336ef8b6fa0571a,0.95,1979,local,shanghai,unknown,unknown,platform,retrospective_web,0.3,0, | semantic_noise=1 by rule(top10 score); | semantic_noise=1 by rule(top10 score);,7.2,-3.0,4.0,retrospective_web,primary_like,unknown,retrospective_web,duckduckgo.com,1,kept,domain_rule,kept,前卫;新潮,avantgarde_discourse;archivalization;institutional_exhibition,kept
EVT-EXH-2025-00006-1edeb8fc,"""请回答，中国当代艺术1980s×1990s"" - 展览 - 新闻 - 中央美术学院艺术资讯网-CAFA Art Info",2025-04-07,,exhibition,,学院,现代性,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafa.com.cn%2Fcn%2Fnews%2Fdetails%2F8332721&rut=62bd339d6970dff7c6ee11490dfb506e3a3ddc594a82b8979771b9c34457d2e2,0.95,2025,unknown,unknown,media,unknown,platform,retrospective_web,0.3,0,,2.0,2.5,0.0,retrospective_web,unknown,unknown,retrospective_web,duckduckgo.com,0,kept,domain_rule,unknown,现代性,avantgarde_discourse;institutional_exhibition;media_diffusion,kept
EVT-EXH-1985-00007-2e227262,个体精神萌发的时刻，回到1980年代上海前卫艺术现场,1985-01-01,上海,exhibition,,美术馆,前卫;话语,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.theartjournal.cn%2Farchives%2Finterview%2F112959&rut=cc301ace48eaab193c8430f782913aef47fee20a86c6d1127252ed3184a42bc9,0.85,1985,local,shanghai,unknown,unknown,platform,retrospective_web,0.3,1," | semantic_noise=1 by rule(polemic_score, bp-priority, evidence-filter);",3.8,4.5,0.0,retrospective_web,unknown,unknown,retrospective_web,duckduckgo.com,0,kept,domain_rule,kept,前卫;话语,avantgarde_discourse;institutional_exhibition,kept
EVT-OTH-1985-00008-c16fbd33,中国前卫艺术现状 | 文章 | Artlinkart | 当代艺术数据库,1985-01-01,,other,,,前卫,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Farticle%2Foverview%2FafdfsAu&rut=f0b9f0f706688a0e460b4176709cd0af1bdd7e519ac4a1da2c360cec3d3d6271,0.65,1985,unknown,unknown,platform,unknown,platform,database,0.3,0, | semantic_noise=1 by rule(top10 score); | semantic_noise=1 by rule(top10 score);,6.0,1.5,3.0,retrospective_web,unknown,unknown,retrospective_web,duckduckgo.com,0,kept,domain_rule,unknown,前卫,avantgarde_discourse,kept
EVT-EXH-1985-00009-7ebc00d2,1980年代——温普林中国前卫艺术档案展 | 展览 | Artlinkart | 当代艺术数据库,1985-01-01,上海,exhibition,,美术馆,前卫,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Fexhibition%2Foverview%2F5c1avxqq&rut=406cf9ebe1b6f9611f89dcb38750ae1466e1e04144f0f8d22d2b4c7a57d1ad7e,0.85,1985,local,shanghai,platform,unknown,platform,database,0.3,0, | semantic_noise=1 by rule(top10 score); | semantic_noise=1 by rule(top10 score);,8.2,-1.5,6.0,retrospective_web,primary_like,unknown,retrospective_web,duckduckgo.com,1,kept,domain_rule,kept,前卫,avantgarde_discourse;archivalization;institutional_exhibition,kept
EVT-EXH-1985-00010-7318fd3b,"与""90年代""前卫艺术展览史有关的十段回忆 | Hi艺术 - 当代艺术资讯专家 | 专题 | 话题",1985-01-01,,exhibition,,,前卫,https://duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.hiart.cn%2Ffeature%2Fdetail%2Fb37gwvv.html&rut=54103df41c616328d8a718a121be9a747b9407d7fd6c926396696e908598cc42,0.75,1985,unknown,unknown,unknown,unknown,platform,retrospective_web,0.3,1," | semantic_noise=1 by rule(top10 score); | semantic_noise=1 by rule(top10 score); | semantic_noise=1 by rule(polemic_score, bp-priority); | semantic_noise=1 by rule(polemic_score, bp-priority, evidence-filter);",5.2,5.7,0.0,retrospective_web,unknown,unknown,retrospective_web,duckduckgo.com,0,kept,domain_rule,unknown,前卫,avantgarde_discourse;institutional_exhibition;media_diffusion,kept
