event_id,title,date,city,event_type,actors,organizations,themes,source,confidence
EVT-EXH-1985-00001-512e2182,展览,1985-01-01,北京,exhibition,,UCCA,,https://ucca.org.cn/exhibitions/,0.75
EVT-OTH-1985-00002-063df082,项目,1985-01-01,,other,,UCCA;基金会,,https://ucca.org.cn/programs/,0.65
EVT-OTH-2026-00003-562db06c,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/,0.55
EVT-OTH-2026-00004-86a7731b,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/1/,0.55
EVT-OTH-2025-00005-d6de5d0f,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/1/,0.55
EVT-OTH-2025-00006-a195072c,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/1/,0.55
EVT-OTH-2026-00007-e839dd1d,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/2/,0.55
EVT-OTH-2025-00008-a2e24952,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/2/,0.55
EVT-OTH-2025-00009-9e81b3dd,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/2/,0.55
EVT-OTH-2026-00010-e0ca5929,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/3/,0.55
EVT-OTH-2025-00011-a2b36e68,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/3/,0.55
EVT-OTH-2025-00012-8c9e98ee,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/3/,0.55
EVT-OTH-2026-00013-a25706ef,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/4/,0.55
EVT-OTH-2025-00014-8163d993,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/4/,0.55
EVT-OTH-2025-00015-fe2eed46,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/4/,0.55
EVT-OTH-2026-00016-25c50aa1,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/5/,0.55
EVT-OTH-2025-00017-95c5e81a,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/5/,0.55
EVT-OTH-2025-00018-902c4293,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/5/,0.55
EVT-OTH-2026-00019-1e5866b9,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/6/,0.55
EVT-OTH-2025-00020-2a4f717e,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/6/,0.55
EVT-OTH-2025-00021-c6693af6,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/6/,0.55
EVT-OTH-2026-00022-eed5ab1c,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/7/,0.55
EVT-OTH-2025-00023-f15f78ce,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/7/,0.55
EVT-OTH-2025-00024-faa1bec4,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/7/,0.55
EVT-OTH-2026-00025-57a4e73f,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/8/,0.55
EVT-OTH-2025-00026-3041585b,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/8/,0.55
EVT-OTH-2025-00027-84e77016,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/8/,0.55
EVT-OTH-2026-00028-4a92f53c,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/9/,0.55
EVT-OTH-2025-00029-4b0cbbfb,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/9/,0.55
EVT-OTH-2025-00030-f6a166c7,皮皮乐迪·里思特：掌心宇宙,2025-07-19,,other,,,,https://ucca.org.cn/exhibitions/page/9/,0.55
EVT-OTH-2026-00031-5fbef5ec,张能傑：成百上千,2026-01-17,,other,,,,https://ucca.org.cn/exhibitions/page/10/,0.55
EVT-OTH-2025-00032-e612ea21,田中功起：临时共同体,2025-09-27,,other,,,,https://ucca.org.cn/exhibitions/page/10/,0.55
