year,n,O_mean,R_mean,S_mean,noise_mean,O_share,R_share,S_share
1979,4,0.94,0.1475,0.18,0.05,0.7416173570019724,0.116370808678501,0.1420118343195266
1980,1,0.11,0.0,0.28,0.0,0.282051282051282,0.0,0.717948717948718
1985,41,0.3251219512195122,0.1943658536585366,0.4595121951219512,0.0492682926829268,0.3320959665163556,0.1985350905603029,0.4693689429233413
1986,1,1.0,0.0,0.42,0.0,0.7042253521126761,0.0,0.295774647887324
1989,4,0.595,0.355,0.2,0.15,0.5173913043478261,0.308695652173913,0.1739130434782609
1993,1,0.11,0.22,0.1,0.0,0.255813953488372,0.5116279069767442,0.2325581395348837
1994,1,0.32,0.15,1.0,0.0,0.217687074829932,0.1020408163265306,0.6802721088435374
2006,1,1.0,0.0,0.28,0.0,0.78125,0.0,0.21875
2008,2,0.08,0.0,0.3,0.0,0.2105263157894736,0.0,0.7894736842105263
2015,1,0.11,0.1,0.1,0.0,0.3548387096774193,0.3225806451612902,0.3225806451612902
2016,1,0.6100000000000001,0.1,0.1,0.0,0.7530864197530865,0.1234567901234567,0.1234567901234567
2018,1,0.06,0.1,0.8199999999999998,0.0,0.0612244897959183,0.1020408163265306,0.836734693877551
2019,1,0.55,0.476,0.6399999999999999,0.2799999999999999,0.3301320528211285,0.2857142857142857,0.3841536614645858
2024,2,0.035,0.0,0.82,0.0,0.0409356725146198,0.0,0.95906432748538
2025,6,0.1716666666666666,0.1116666666666666,0.4533333333333333,0.0,0.2330316742081447,0.1515837104072398,0.6153846153846154
2026,1,0.12,0.0,0.6000000000000001,0.0,0.1666666666666666,0.0,0.8333333333333334
