center_year,window,n_events,n_cities,gini_city,top_cities
1979,1978-1980,5,3,0.26666666666666683,上海:3;北京:1;西安:1
1980,1979-1981,5,3,0.26666666666666683,上海:3;北京:1;西安:1
1985,1984-1986,26,4,0.42307692307692313,北京:13;上海:10;香港:2;重庆:1
1986,1985-1987,26,4,0.42307692307692313,北京:13;上海:10;香港:2;重庆:1
1989,1988-1990,3,1,0.0,北京:3
1993,1992-1994,1,1,0.0,深圳:1
2006,2005-2007,1,1,0.0,北京:1
2008,2007-2009,1,1,0.0,广州:1
2015,2014-2016,2,1,0.0,北京:2
2016,2015-2017,2,1,0.0,北京:2
2025,2024-2026,5,1,0.0,北京:5
2026,2025-2027,5,1,0.0,北京:5
