year,n_events,strong_archival_share,mean_polemic_score,mean_arch_score,strong_archival_share_pct,ok
1979,4,0.75,0.5,9.175,75.0,1
1980,1,0.0,0.0,0.2,0.0,0
1985,41,0.14634146341463414,1.6121951219512194,2.7243902439024392,14.634146341463413,1
1986,1,1.0,-1.5,10.0,100.0,0
1989,4,0.5,2.875,5.2,50.0,1
1993,1,0.0,2.2,0.2,0.0,0
1994,1,0.0,1.5,3.2,0.0,0
2006,1,1.0,-0.3,10.0,100.0,0
2008,2,0.0,0.0,0.2,0.0,0
2015,1,0.0,1.0,0.2,0.0,0
2016,1,0.0,1.0,5.2,0.0,0
2018,1,0.0,1.0,0.6,0.0,0
2019,1,0.0,3.5,5.2,0.0,0
2024,2,0.0,-1.5,0.2,0.0,0
2025,6,0.0,0.8666666666666667,1.1666666666666667,0.0,1
2026,1,0.0,0.0,0.6,0.0,0
