center_year,window_start,window_end,n_events,n_cities,top_city,top_city_weight,gini_weighted
1979,1978,1980,5,3,上海,3.0,0.26666666666666666
1980,1979,1981,5,3,上海,3.0,0.26666666666666666
1984,1983,1985,25,4,北京,13.0,0.43000000000000005
1985,1984,1986,26,4,北京,13.0,0.42307692307692313
1986,1985,1987,26,4,北京,13.0,0.42307692307692313
1988,1987,1989,3,1,北京,3.0,0.0
1989,1988,1990,3,1,北京,3.0,0.0
1990,1989,1991,3,1,北京,3.0,0.0
2024,2023,2025,4,1,北京,4.0,0.0
2025,2024,2026,5,1,北京,5.0,0.0
2026,2025,2027,5,1,北京,5.0,0.0
