event_id,year,title,archivalization_score_v2,Sref
EVT-EXH-1979-00054-b4331dd1,1979,搜尋 | Li Xianting Archive 栗憲庭檔案 | 亞洲藝術文獻庫 - AAA,10.0,[S1]
EVT-EXH-2006-00060-dc263387,2006,栗宪庭（Li Xianting） 评论家+策展人 人物档案 艺术档案,10.0,[S2]
EVT-EXH-1979-00005-c99a26d4,1979,合集 · 回放|前卫•上海——上海当代艺术30年文献展（1979-2010）,10.0,[S3]
EVT-EXH-1986-00018-a4ff0dfe,1986,上海当代艺术30年文献展（1979—2010）之：偶发与表演 行为档案 艺术档案,10.0,[S4]
EVT-EXH-1985-00026-a09c7be5,1985,吴山专（Wu Shanzhuan） 国内 艺术家库 人物档案 艺术档案,10.0,[S5]
EVT-EXH-1979-00014-b2184a7f,1979,前卫·上海——上海当代艺术30年文献展（1979-2010）：前卫主义新潮（1985-1992） - ARThing艺术活,10.0,[S6]
EVT-EXH-1985-00009-7ebc00d2,1985,1980年代——温普林中国前卫艺术档案展 | 展览 | Artlinkart | 当代艺术数据库,9.0,[S7]
EVT-OTH-1985-00057-ee92c1a7,1985,栗宪庭：中国百年艺术思潮 - 独立中文笔会,8.6,[S8]
EVT-EXH-1985-00007-2e227262,1985,个体精神萌发的时刻，回到1980年代上海前卫艺术现场,8.2,[S9]
EVT-EXH-1985-00017-07c5fcc1,1985,藝術事件資料庫 | China/Avant-Garde Exhibition | 亞洲藝術文獻庫,8.2,[S10]
EVT-EXH-1989-00044-96098ebc,1989,89现代艺术展 国内 艺术思潮 大史记 艺术档案 - artda.cn,7.2,[S11]
EVT-EXH-1985-00064-9dcfada7,1985,艺术档案 - artda.cn,7.2,[S12]
EVT-EXH-1989-00047-dc372981,1989,"1989""中国现代艺术大展""研究（节选） CAFA Art Museum",7.2,[S13]
EVT-EXH-1979-00019-23f60a79,1979,新昊和他的朋友们| 前卫·上海——上海当代艺术30年文献展（1979-2010）：前卫主义新潮（1985-1992）盛大开幕,6.7,[S14]
EVT-EXH-1985-00020-0692c9c4,1985,艺诺看展|前卫·上海——上海当代艺术30年文献展（1979—2010）,6.7,[S15]
EVT-OTH-1985-00008-c16fbd33,1985,中国前卫艺术现状 | 文章 | Artlinkart | 当代艺术数据库,6.4,[S16]
EVT-EXH-1989-00049-7a9accd0,1989,"《1989""中国现代艺术展"", 美术馆内》 - Red Brick Art Museum",6.2,[S17]
EVT-EXH-1985-00041-1c13795f,1985,Xu Bing - 关于 - 年表,6.2,[S18]
EVT-EXH-1985-00036-31972e8d,1985,任何人都有权利拒绝成为吴山专 | 文章 | Artlinkart | 当代艺术数据库,6.0,[S19]
EVT-OTH-1985-00027-e3cd59f9,1985,吴山专 | 艺术家 | Artlinkart | 当代艺术数据库,5.6,[S20]
EVT-EXH-2019-00067-6b5dd021,2019,"PDF策展30年： ""是时候建立中国策展学了""",5.2,[S21]
EVT-EXH-1985-00068-77de2bf0,1985,栗宪庭 | 艺术家 | Artlinkart | 当代艺术数据库,5.2,[S22]
EVT-EXH-2016-00012-4bb38a5f,2016,"""温普林中国前卫艺术档案之八〇九〇年代"" - Red Brick Art Museum",5.2,[S23]
EVT-EXH-1985-00039-b9dcabac,1985,徐冰展览年表 - 搜狐,3.7,[S24]
EVT-EXH-1994-00053-a907ff22,1994,徐冰 - artforum.com.cn,3.2,[S25]
EVT-EXH-2025-00066-9de7e26a,2025,两声枪响:现代艺术的谢幕礼! / 栗宪庭_《对话》文献_文献_肖鲁工作室,3.2,[S26]
EVT-EXH-1985-00022-3150058e,1985,从上海当代艺术30年回顾展 听嘹亮背景下的清越之声,2.7,[S27]
EVT-EXH-1985-00052-fe4ae423,1985,"""徐冰：思想与方法""展览设计团队：一定要从外部判断 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info",2.2,[S28]
EVT-EXH-1985-00046-61e512d0,1985,徐冰的艺术世界：过去与未来 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info,2.2,[S29]
EVT-EXH-1985-00034-f05775c4,1985,吳山專 | 創作者 | M+,2.2,[S30]
