year,n,O_mean,R_mean,S_mean,noise_mean,O_share,R_share,S_share
1979,4,0.94,0.1475,0.18000000000000002,0.05,0.7416173570019724,0.116370808678501,0.14201183431952666
1980,1,0.11,0.0,0.28,0.0,0.28205128205128205,0.0,0.717948717948718
1985,41,0.3251219512195122,0.1943658536585366,0.45951219512195124,0.04926829268292683,0.33209596651635565,0.19853509056030294,0.46936894292334136
1986,1,1.0,0.0,0.42000000000000004,0.0,0.7042253521126761,0.0,0.295774647887324
1989,4,0.595,0.355,0.2,0.15000000000000002,0.5173913043478261,0.30869565217391304,0.1739130434782609
1993,1,0.11,0.22000000000000003,0.1,0.0,0.25581395348837205,0.5116279069767442,0.23255813953488372
1994,1,0.32,0.15,1.0,0.0,0.217687074829932,0.10204081632653061,0.6802721088435374
2006,1,1.0,0.0,0.28,0.0,0.78125,0.0,0.21875000000000003
2008,2,0.08,0.0,0.3,0.0,0.21052631578947367,0.0,0.7894736842105263
2015,1,0.11,0.1,0.1,0.0,0.3548387096774193,0.32258064516129026,0.32258064516129026
2016,1,0.6100000000000001,0.1,0.1,0.0,0.7530864197530865,0.12345679012345678,0.12345679012345678
2018,1,0.06,0.1,0.8199999999999998,0.0,0.06122448979591837,0.10204081632653063,0.836734693877551
2019,1,0.55,0.476,0.6399999999999999,0.27999999999999997,0.3301320528211285,0.2857142857142857,0.3841536614645858
2024,2,0.035,0.0,0.82,0.0,0.04093567251461989,0.0,0.9590643274853801
2025,6,0.17166666666666666,0.11166666666666668,0.45333333333333337,0.0,0.23303167420814477,0.15158371040723984,0.6153846153846154
2026,1,0.12,0.0,0.6000000000000001,0.0,0.16666666666666663,0.0,0.8333333333333334
