event_id,year,title,event_type,source,polemic_score,archivalization_score
EVT-EXH-1985-00010-7318fd3b,1985,"与""90年代""前卫艺术展览史有关的十段回忆 | Hi艺术 - 当代艺术资讯专家 | 专题 | 话题",exhibition,https://duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.hiart.cn%2Ffeature%2Fdetail%2Fb37gwvv.html&rut=54103df41c616328d8a718a121be9a747b9407d7fd6c926396696e908598cc42,5.7,0.0
EVT-EXH-1985-00052-fe4ae423,1985,"""徐冰：思想与方法""展览设计团队：一定要从外部判断 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info",exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafa.com.cn%2Fcn%2Fopinions%2Finterviews%2Fdetails%2F5410389&rut=58491e912971ded84b04779a15809b819a3cd5754ea9f2d0f50dce3733504550,4.7,0.0
EVT-EXH-1985-00046-61e512d0,1985,徐冰的艺术世界：过去与未来 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafa.com.cn%2Fcn%2Fopinions%2Finterviews%2Fdetails%2F54128&rut=120a2edbdc366754ebbef67cda0f7c2f155a815a24e910445cb97aba381d41c1,4.7,0.0
EVT-EXH-1989-00049-7a9accd0,1989,"《1989""中国现代艺术展"", 美术馆内》 - Red Brick Art Museum",exhibition,https://duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.redbrickartmuseum.org%2Fcollections%2F%25E3%2580%258A1989%25E4%25B8%25AD%25E5%259B%25BD%25E7%258E%25B0%25E4%25BB%25A3%25E8%2589%25BA%25E6%259C%25AF%25E5%25B1%2595%2D%25E7%25BE%258E%25E6%259C%25AF%25E9%25A6%2586%25E5%2586%2585%25E3%2580%258B%2F&rut=7f762164f8647b84166e157b74f2890e967bba73a732701cd0008956c32543df,4.5,0.0
EVT-OTH-1985-00057-ee92c1a7,1985,栗宪庭：中国百年艺术思潮 - 独立中文笔会,other,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.chinesepen.org%2Fblog%2Farchives%2F121393&rut=7f8928f12cd2d292733f82168e47c80d1e76923ab44985f5945dfe039d6c7e22,4.5,0.0
EVT-EXH-1985-00007-2e227262,1985,个体精神萌发的时刻，回到1980年代上海前卫艺术现场,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.theartjournal.cn%2Farchives%2Finterview%2F112959&rut=cc301ace48eaab193c8430f782913aef47fee20a86c6d1127252ed3184a42bc9,4.5,0.0
EVT-EXH-1979-00054-b4331dd1,1979,搜尋 | Li Xianting Archive 栗憲庭檔案 | 亞洲藝術文獻庫 - AAA,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Faaa.org.hk%2Ftc%2Fcollections%2Fsearch%2Farchive%2Fli%2Dxianting%2Darchive&rut=b915924d6471ca9039a2a603eae78ddaf0664322c4dbf575bc2464d5161b5c50,3.5,0.0
EVT-EXH-1985-00038-fe2c3baf,1985,吴山专 + 英格·斯瓦拉·托斯朵蒂尔 - artforum.com.cn,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artforum.com.cn%2Fpicks%2F14922&rut=cfd3b97d2ab5680cc148c774f738be65c0beae361b81ae2c0741e25678a73a13,3.5,0.0
EVT-EXH-1989-00047-dc372981,1989,"1989""中国现代艺术大展""研究（节选） CAFA Art Museum",exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafamuseum.org%2Fen%2Fexhibit%2Fnewsdetail%2F2279&rut=d0f73edd10f49623b0cad5cbc7d56c8e82305fcb81164271ddbc869884bab19d,3.5,0.0
EVT-EXH-2019-00067-6b5dd021,2019,"PDF策展30年： ""是时候建立中国策展学了""",exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fnepaper.ccdy.cn%2Fpage%2F1%2F2019%2D01%2F06%2F1%2F201901061_pdf.PDF&rut=fd3ef6c5b961aeaed733f7b8219ec742bcc57577e0a0c3947b1a8b469286b3be,3.5,0.0
